Rk,Player,Tm,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,Salary Count,Average Salary
1,Stephen Curry,GSW,"$48,070,014","$51,915,615","$55,761,216","$59,606,817",,,215353662,4,53838415.5
2,Russell Westbrook,UTA,"$47,559,433",,,,,,47063478,1,47063478.0
3,LeBron James,LAL,"$44,474,988","$53,369,986","$57,639,585",,,,97844974,3,32614991.333333332
4,Kevin Durant,PHO,"$44,119,845","$47,649,433","$51,179,021","$54,708,609",,,197656908,4,49414227.0
5,Bradley Beal,WAS,"$43,279,250","$46,741,590","$50,203,930","$53,666,270","$57,128,610",,193891040,5,38778208.0
6,Damian Lillard,POR,"$42,492,492","$45,640,084","$48,787,676","$58,545,211","$63,228,828",,195465463,5,39093092.6
7,Giannis Antetokounmpo,MIL,"$42,492,492","$45,640,084","$48,787,676","$51,935,268",,,136920252,4,34230063.0
8,Paul George,LAC,"$42,492,492","$45,640,084","$48,787,676",,,,88132576,3,29377525.333333332
9,Kawhi Leonard,LAC,"$42,492,492","$45,640,084","$48,787,676",,,,88132576,3,29377525.333333332
10,John Wall,HOU,"$47,345,760","$6,802,950",,,,,54148710,2,27074355.0
11,Klay Thompson,GSW,"$40,600,080","$43,219,440",,,,,83819520,2,41909760.0
12,Kyrie Irving,DAL,"$38,917,057",,,,,,38917057,1,38917057.0
13,Rudy Gobert,MIN,"$38,172,414","$41,000,000","$43,827,586","$46,655,172",,,123000000,4,30750000.0
14,Anthony Davis,LAL,"$37,980,720","$40,600,080","$43,219,440",,,,78580800,3,26193600.0
15,Khris Middleton,MIL,"$37,948,276","$40,396,552",,,,,37948276,2,18974138.0
16,Jimmy Butler,MIA,"$37,653,300","$45,183,960","$48,798,677","$52,413,394",,,131635937,4,32908984.25
17,Tobias Harris,PHI,"$37,633,050","$39,270,150",,,,,76903200,2,38451600.0
18,Trae Young,ATL,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,215159700,5,43031940.0
19,Luka Dončić,DAL,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,166192320,5,33238464.0
20,Zach LaVine,CHI,"$37,096,500","$40,064,220","$43,031,940","$45,999,660","$48,967,380",,166192320,5,33238464.0
21,Ben Simmons,BRK,"$35,448,672","$37,893,408","$40,338,144",,,,113680224,3,37893408.0
22,Pascal Siakam,TOR,"$35,448,672","$37,893,408",,,,,73342080,2,36671040.0
23,Myles Turner,IND,"$35,069,500","$20,975,000","$19,928,500",,,,75973000,3,25324333.333333332
24,Devin Booker,PHO,"$33,833,400","$36,016,200","$49,245,000","$53,184,600","$57,124,200","$61,063,800",290467200,6,48411200.0
25,Karl-Anthony Towns,MIN,"$33,833,400","$36,016,200","$49,245,000","$53,184,600","$57,124,200","$61,063,800",229403400,6,38233900.0
26,Kristaps Porziņģis,WAS,"$33,833,400","$36,016,200",,,,,33833400,2,16916700.0
27,Jrue Holiday,MIL,"$33,665,040","$36,158,747","$38,652,454",,,,69823787,3,23274595.666666668
28,Joel Embiid,PHI,"$33,616,770","$46,900,000","$50,652,000","$54,404,000","$58,156,000",,185572770,5,37114554.0
29,Andrew Wiggins,GSW,"$33,616,770","$24,330,357","$26,276,786","$28,223,215","$30,169,644",,112447128,5,22489425.6
30,CJ McCollum,NOP,"$33,333,333","$35,802,469","$33,333,333","$30,666,666",,,133135801,4,33283950.25
31,Nikola Jokić,DEN,"$33,047,803","$46,900,000","$50,652,000","$54,404,000","$58,156,000","$61,908,000",243159803,6,40526633.833333336
32,James Harden,PHI,"$33,000,000","$35,640,000",,,,,33000000,2,16500000.0
33,Brandon Ingram,NOP,"$31,650,600","$33,833,400","$36,016,200",,,,101500200,3,33833400.0
34,Jamal Murray,DEN,"$31,650,600","$33,833,400","$36,016,200",,,,101500200,3,33833400.0
35,D'Angelo Russell,LAL,"$31,377,750",,,,,,31377750,1,31377750.0
36,Shai Gilgeous-Alexander,OKC,"$30,913,750","$33,386,850","$35,859,950","$38,333,050","$40,806,150",,179299750,5,35859950.0
37,Michael Porter Jr.,DEN,"$30,913,750","$33,386,850","$35,859,950","$38,333,050","$40,806,150",,150493600,5,30098720.0
38,Deandre Ayton,PHO,"$30,913,750","$32,459,438","$34,005,126","$35,550,814",,,132929128,4,33232282.0
