Rk,Player,Tm,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,Salary Count,Average Salary
39,Donovan Mitchell,CLE,"$30,913,750","$33,162,030","$35,410,310","$37,096,620",,,99486090,4,24871522.5
40,De'Aaron Fox,SAC,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",,,134896800,4,33724200.0
41,Bam Adebayo,MIA,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",,,134896800,4,33724200.0
42,Jayson Tatum,BOS,"$30,351,780","$32,600,060","$34,848,340","$37,096,620",,,97800180,4,24450045.0
43,Gordon Hayward,CHO,"$30,075,000","$31,500,000",,,,,61575000,2,30787500.0
44,Jaren Jackson Jr.,MEM,"$28,946,605","$27,102,202","$25,257,798","$23,413,395",,,104720000,4,26180000.0
45,Kevin Love,CLE,"$32,056,968",,,,,,28942830,1,28942830.0
46,Jaylen Brown,BOS,"$28,741,071","$30,723,215",,,,,59464286,2,29732143.0
47,Chris Paul,PHO,"$28,400,000","$30,800,000","$30,000,000",,,,44200000,3,14733333.333333334
48,Kyle Lowry,MIA,"$28,333,334","$29,682,540",,,,,58015874,2,29007937.0
49,Jalen Brunson,NYK,"$27,733,332","$26,346,666","$24,960,001","$24,960,001",,,79039999,4,19759999.75
50,Kemba Walker,OKC,"$37,281,261",,,,,,27431078,1,27431078.0
51,DeMar DeRozan,CHI,"$27,300,000","$28,600,000",,,,,55900000,2,27950000.0
52,Al Horford,BOS,"$26,500,000","$10,000,000","$9,500,000",,,,46000000,3,15333333.333333334
53,Draymond Green,GSW,"$25,806,468","$27,586,224",,,,,25806468,2,12903234.0
54,Julius Randle,NYK,"$23,760,000","$25,660,800","$27,561,600","$29,462,400",,,76982400,4,19245600.0
55,John Collins,ATL,"$23,500,000","$25,340,000","$26,580,000","$26,580,000",,,102000000,4,25500000.0
56,Mike Conley,MIN,"$22,680,000","$24,360,000",,,,,37000000,2,18500000.0
57,Malcolm Brogdon,BOS,"$22,600,000","$22,500,000","$22,500,000",,,,67600000,3,22533333.333333332
58,Anfernee Simons,POR,"$22,321,429","$24,107,143","$25,892,857","$27,678,571",,,100000000,4,25000000.0
59,Nikola Vučević,CHI,"$22,000,000",,,,,,22000000,1,22000000.0
60,Terry Rozier,CHO,"$21,486,316","$23,205,221","$24,924,126","$26,643,031",,,96258694,4,24064673.5
61,Fred VanVleet,TOR,"$21,250,000","$22,824,074",,,,,21250000,2,10625000.0
62,Buddy Hield,IND,"$21,177,750","$19,279,841",,,,,40457591,2,20228795.5
63,Jerami Grant,POR,"$20,955,000",,,,,,20955000,1,20955000.0
64,Mikal Bridges,BRK,"$20,100,000","$21,700,000","$23,300,000","$24,900,000",,,90000000,4,22500000.0
65,Jarrett Allen,CLE,"$20,000,000","$20,000,000","$20,000,000","$20,000,000",,,80000000,4,20000000.0
66,Aaron Gordon,DEN,"$19,690,909","$21,266,182","$22,841,455","$22,841,455",,,63798546,4,15949636.5
67,Tim Hardaway Jr.,DAL,"$19,602,273","$17,897,728","$16,193,183",,,,53693184,3,17897728.0
68,Eric Gordon,LAC,"$19,568,360","$20,917,902",,,,,19568360,2,9784180.0
69,Bojan Bogdanović,DET,"$19,550,000","$20,000,000","$19,032,850",,,,39550000,3,13183333.333333334
70,Lonzo Ball,CHI,"$19,534,884","$20,465,117","$21,395,348",,,,40000001,3,13333333.666666666
71,Spencer Dinwiddie,BRK,"$19,500,000","$20,357,143",,,,,38357143,2,19178571.5
72,Caris LeVert,CLE,"$18,796,296",,,,,,18796296,1,18796296.0
73,Clint Capela,ATL,"$18,706,896","$20,616,000","$22,265,280",,,,61588176,3,20529392.0
74,Joe Harris,BRK,"$18,642,857","$19,928,571",,,,,38571428,2,19285714.0
75,Domantas Sabonis,SAC,"$18,500,000","$19,400,000",,,,,37900000,2,18950000.0
76,Harrison Barnes,SAC,"$18,352,273",,,,,,18352273,1,18352273.0
77,Evan Fournier,NYK,"$18,000,000","$18,857,143","$19,000,000",,,,55857143,3,18619047.666666668
78,Bogdan Bogdanović,ATL,"$18,000,000","$18,000,000",,,,,36000000,2,18000000.0
79,Steven Adams,MEM,"$17,926,829","$12,600,000","$12,600,000",,,,43126829,3,14375609.666666666
80,Gary Trent Jr.,TOR,"$17,505,000","$18,785,000",,,,,17505000,2,8752500.0
81,Jonathan Isaac,ORL,"$17,400,000","$17,400,000","$17,400,000",,,,24800000,3,8266666.666666667
82,OG Anunoby,TOR,"$17,357,143","$18,642,857","$19,928,571",,,,36000000,3,12000000.0
83,Marcus Smart,BOS,"$17,207,142","$18,583,713","$19,960,284","$21,336,855",,,77087994,4,19271998.5
84,Mitchell Robinson,NYK,"$17,045,454","$15,681,818","$14,318,182","$12,954,546",,,60000000,4,15000000.0
85,Duncan Robinson,MIA,"$16,902,000","$18,154,000","$19,406,000","$19,888,000",,,64350000,4,16087500.0
86,Derrick White,BOS,"$16,892,857","$18,107,143","$19,321,429",,,,54321429,3,18107143.0
87,Norman Powell,LAC,"$16,758,621","$18,000,000","$19,241,379","$20,482,758",,,74482758,4,18620689.5
88,Dejounte Murray,ATL,"$16,571,120","$17,714,000",,,,,34285120,2,17142560.0
89,Collin Sexton,UTA,"$16,500,000","$17,325,000","$18,150,000","$18,975,000",,,70950000,4,17737500.0
90,Markelle Fultz,ORL,"$16,500,000","$17,000,000",,,,,18500000,2,9250000.0
91,Lauri Markkanen,UTA,"$16,475,454","$17,259,999","$18,044,544",,,,39735453,3,13245151.0
92,Marcus Morris,LAC,"$16,372,093","$17,116,279",,,,,33488372,2,16744186.0
93,Dāvis Bertāns,DAL,"$16,000,000","$17,000,000","$16,000,000",,,,44000000,3,14666666.666666666
94,Jusuf Nurkić,POR,"$15,625,000","$16,875,000","$18,125,000","$19,375,000",,,70000000,4,17500000.0
95,Malik Beasley,LAL,"$15,558,035","$16,524,106",,,,,15558035,2,7779017.5
96,Luguentz Dort,OKC,"$15,277,778","$15,277,778","$16,500,000","$17,722,222","$17,722,222",,64777778,5,12955555.6
97,Tyus Jones,MEM,"$15,000,000","$14,000,000",,,,,29000000,2,14500000.0
98,Jonas Valančiūnas,NOP,"$14,700,000","$15,435,000",,,,,30135000,2,15067500.0
99,Derrick Rose,NYK,"$14,520,730","$15,596,339",,,,,14520730,2,7260365.0
100,Kevin Huerter,SAC,"$14,508,929","$15,669,643","$16,830,357","$17,991,071",,,65000000,4,16250000.0
101,Luke Kennard,MEM,"$14,415,545","$15,418,363","$15,418,363",,,,29833908,3,9944636.0
102,Will Barton,WAS,"$14,807,642",,,,,,14375000,1,14375000.0
103,Christian Wood,DAL,"$14,317,459",,,,,,14317459,1,14317459.0
104,Wendell Carter Jr.,ORL,"$14,150,000","$13,050,000","$11,950,000","$10,850,000",,,50000000,4,12500000.0
105,Kentavious Caldwell-Pope,DEN,"$14,004,703","$14,704,938","$15,440,185",,,,28709641,3,9569880.333333334
106,Brook Lopez,MIL,"$13,906,976",,,,,,13906976,1,13906976.0
107,Doug McDermott,SAS,"$13,750,000","$13,750,000",,,,,27500000,2,13750000.0
108,Zion Williamson,NOP,"$13,534,817","$33,500,000","$36,180,000","$38,860,000","$41,540,000","$44,220,000",207834817,6,34639136.166666664
109,Jordan Clarkson,UTA,"$13,340,000","$14,260,000",,,,,13340000,2,6670000.0
110,Kyle Kuzma,WAS,"$13,000,000","$13,000,000",,,,,13000000,2,6500000.0
111,Danilo Gallinari,SAS,"$19,479,000","$6,802,950",,,,,13000000,2,6500000.0
112,Patrick Beverley,ORL,"$13,506,508",,,,,,13000000,1,13000000.0
113,Gary Harris,ORL,"$13,000,000","$13,000,000",,,,,13000000,2,6500000.0
114,Josh Hart,NYK,"$12,960,000","$12,960,000",,,,,12960000,2,6480000.0
115,Dorian Finney-Smith,BRK,"$12,939,848","$13,932,008","$14,924,167","$15,378,480",,,41796023,4,10449005.75
116,Kelly Olynyk,UTA,"$12,804,878","$12,195,122",,,,,15804878,2,7902439.0
117,Chris Boucher,TOR,"$12,690,000","$11,750,000","$10,810,000",,,,35250000,3,11750000.0
118,Kelly Oubre Jr.,CHO,"$12,600,000",,,,,,12600000,1,12600000.0
119,Marvin Bagley III,DET,"$12,500,000","$12,500,000","$12,500,000",,,,37500000,3,12500000.0
120,Robert Covington,LAC,"$12,307,692","$11,692,308",,,,,24000000,2,12000000.0
121,Josh Richardson,NOP,"$12,196,094",,,,,,12196094,1,12196094.0
122,Ja Morant,MEM,"$12,119,440","$33,500,000","$36,180,000","$38,860,000","$41,540,000","$44,220,000",206419440,6,34403240.0
123,Devonte' Graham,SAS,"$11,550,000","$12,100,000","$12,650,000",,,,26500000,3,8833333.333333334
124,Terrence Ross,ORL,"$12,080,373",,,,,,11500000,1,11500000.0
125,Dillon Brooks,MEM,"$11,400,000",,,,,,11400000,1,11400000.0
126,Richaun Holmes,SAC,"$11,215,260","$12,046,020","$12,876,780",,,,23261280,3,7753760.0
127,Reggie Jackson,CHO,"$11,795,633",,,,,,11215260,1,11215260.0
128,Dwight Powell,DAL,"$11,080,125",,,,,,11080125,1,11080125.0
129,Paolo Banchero,ORL,"$11,055,120","$11,608,080","$12,160,800","$15,334,769",,,22663200,4,5665800.0
130,Robert Williams,BOS,"$10,937,502","$11,812,501","$12,687,500","$13,562,499",,,49000002,4,12250000.5
131,RJ Barrett,NYK,"$10,900,635","$23,883,929","$25,794,643","$27,705,357","$29,616,071",,117900635,5,23580127.0
132,Bobby Portis,MIL,"$10,843,350","$11,710,818","$12,578,286","$13,445,754",,,35132454,4,8783113.5
133,Nicolas Batum,LAC,"$19,700,319","$11,710,818",,,,,22554168,2,11277084.0
134,Anthony Edwards,MIN,"$10,733,400","$13,534,817",,,,,24268217,2,12134108.5
135,Cade Cunningham,DET,"$10,552,800","$11,055,360","$13,940,809",,,,21608160,3,7202720.0
136,P.J. Tucker,PHI,"$10,490,000","$11,014,500","$11,539,000",,,,21504500,3,7168166.666666667
137,Mo Bamba,LAL,"$10,300,000","$10,300,000",,,,,10300000,2,5150000.0
138,Talen Horton-Tucker,UTA,"$10,260,000","$11,020,000",,,,,10260000,2,5130000.0
139,Jae Crowder,MIL,"$10,183,800",,,,,,10183800,1,10183800.0
140,Derrick Favors,HOU,"$10,183,800",,,,,,10183800,1,10183800.0
141,Ivica Zubac,LAC,"$10,123,457","$10,933,333","$11,743,210",,,,32800000,3,10933333.333333334
142,Reggie Bullock,DAL,"$10,012,800","$10,489,600",,,,,15464000,2,7732000.0
143,Alec Burks,DET,"$10,012,800","$10,489,600",,,,,10012800,2,5006400.0
144,Chet Holmgren,OKC,"$9,891,240","$10,386,000","$10,880,640","$13,731,368",,,20277240,4,5069310.0
145,De'Andre Hunter,ATL,"$9,835,881","$20,089,286","$21,696,429","$23,303,571","$24,910,714",,99835881,5,19967176.2
146,Danny Green,HOU,"$11,710,528",,,,,,9710528,1,9710528.0
147,Larry Nance Jr.,NOP,"$9,672,727","$10,375,000","$11,205,000",,,,31252727,3,10417575.666666666
148,James Wiseman,DET,"$9,603,360","$12,119,440",,,,,9603360,2,4801680.0
149,Landry Shamet,PHO,"$9,500,000","$10,250,000","$11,000,000","$11,750,000",,,42500000,4,10625000.0
150,Malik Monk,SAC,"$9,472,219","$9,945,830",,,,,19418049,2,9709024.5
151,Jalen Green,HOU,"$9,441,840","$9,891,480","$12,483,048",,,,19333320,3,6444440.0
152,Jakob Poeltl,TOR,"$9,398,148",,,,,,9398148,1,9398148.0
153,Dario Šarić,OKC,"$9,240,000",,,,,,9240000,1,9240000.0
154,Nerlens Noel,DET,"$9,240,000",,,,,,9240000,1,9240000.0
155,Royce O'Neale,BRK,"$9,200,000","$9,500,000",,,,,11700000,2,5850000.0
156,Kemba Walker,DET,"$37,281,261",,,,,,9165471,1,9165471.0
157,Monte Morris,WAS,"$9,125,000","$9,800,926",,,,,18925926,2,9462963.0
158,Mason Plumlee,LAC,"$9,080,417",,,,,,9080417,1,9080417.0
159,Alex Caruso,CHI,"$9,030,000","$9,460,000","$9,890,000",,,,28380000,3,9460000.0
160,Maxi Kleber,DAL,"$9,000,000","$11,000,000","$11,000,000","$11,000,000",,,42000000,4,10500000.0
161,Darius Garland,CLE,"$8,920,795","$33,500,000","$36,180,000","$38,860,000","$41,540,000","$44,220,000",203220795,6,33870132.5
162,Jabari Smith Jr.,HOU,"$8,882,640","$9,326,520","$9,770,880","$12,350,392",,,18209160,4,4552290.0
163,Nicolas Batum,CHO,"$19,700,319","$11,710,818",,,,,8856969,2,4428484.5
164,Kyle Anderson,MIN,"$8,780,488","$9,219,512",,,,,18000000,2,9000000.0
165,Victor Oladipo,MIA,"$8,750,000","$9,450,000",,,,,8750000,2,4375000.0
166,Daniel Theis,IND,"$8,694,369","$9,108,387","$9,522,405",,,,17802756,3,5934252.0
167,LaMelo Ball,CHO,"$8,623,920","$10,900,635",,,,,19524555,2,9762277.5
168,Nic Claxton,BRK,"$8,500,000","$8,750,000",,,,,17250000,2,8625000.0
169,Grayson Allen,MIL,"$8,500,000","$8,500,000",,,,,17000000,2,8500000.0
170,Seth Curry,BRK,"$8,496,653",,,,,,8496653,1,8496653.0
171,Evan Mobley,CLE,"$8,478,720","$8,882,640","$11,227,657",,,,17361360,3,5787120.0
172,Gary Payton II,GSW,"$8,300,000","$8,715,000","$9,130,000",,,,17015000,3,5671666.666666667
173,De'Anthony Melton,PHI,"$8,250,000","$8,000,000",,,,,9750000,2,4875000.0
174,JaMychal Green,OKC,"$10,036,090",,,,,,8200000,1,8200000.0
175,T.J. McConnell,IND,"$8,100,000","$8,700,000","$9,300,000",,,,21800000,3,7266666.666666667
176,Keegan Murray,SAC,"$8,008,440","$8,409,000","$8,809,560","$11,144,093",,,16417440,4,4104360.0
177,Kevon Looney,GSW,"$8,000,000","$8,500,000","$9,000,000",,,,25500000,3,8500000.0
178,Thaddeus Young,TOR,"$8,000,000","$8,000,000",,,,,9000000,2,4500000.0
179,DeAndre Jordan,DET,"$9,663,997",,,,,,7827907,1,7827907.0
180,Isaiah Hartenstein,NYK,"$7,804,879","$8,195,121",,,,,16000000,2,8000000.0
181,Delon Wright,WAS,"$7,804,878","$8,195,122",,,,,16000000,2,8000000.0
182,Patrick Williams,CHI,"$7,775,400","$9,835,881",,,,,17611281,2,8805640.5
183,Scottie Barnes,TOR,"$7,644,600","$8,008,680","$10,130,980",,,,15653280,3,5217760.0
184,Cedi Osman,CLE,"$7,426,088","$6,718,842",,,,,7426088,2,3713044.0
185,Coby White,CHI,"$7,413,955",,,,,,7413955,1,7413955.0
186,Zach Collins,SAS,"$7,350,000","$7,700,000",,,,,7350000,2,3675000.0
187,Taurean Prince,MIN,"$7,295,000","$7,650,000",,,,,14945000,2,7472500.0
188,Jaden Ivey,DET,"$7,252,200","$7,614,480","$7,977,240","$10,107,163",,,14866680,4,3716670.0
189,Jae'Sean Tate,HOU,"$7,065,217","$6,500,000","$7,065,217",,,,13565217,3,4521739.0
190,Isaac Okoro,CLE,"$7,040,880","$8,920,795",,,,,15961675,2,7980837.5
191,Cody Martin,CHO,"$7,000,000","$7,560,000","$8,120,000","$8,680,000",,,22680000,4,5670000.0
192,Jalen Suggs,ORL,"$6,922,320","$7,252,080","$9,188,385",,,,14174400,3,4724800.0
193,Jaxson Hayes,NOP,"$6,803,012",,,,,,6803012,1,6803012.0
194,Khem Birch,SAS,"$6,667,500","$6,985,000",,,,,13652500,2,6826250.0
195,Bennedict Mathurin,IND,"$6,586,800","$6,916,080","$7,245,720","$9,187,573",,,13502880,4,3375720.0
196,John Wall,HOU,"$47,345,760","$6,802,950",,,,,54148710,2,27074355.0
197,Caleb Martin,MIA,"$6,479,000","$6,802,950","$7,126,900",,,,20408850,3,6802950.0
198,Patty Mills,BRK,"$6,479,000","$6,802,950",,,,,13281950,2,6640975.0
199,Danilo Gallinari,BOS,"$19,479,000","$6,802,950",,,,,13281950,2,6640975.0
200,Joe Ingles,MIL,"$6,479,000",,,,,,6479000,1,6479000.0
201,Lonnie Walker IV,LAL,"$6,479,000",,,,,,6479000,1,6479000.0
202,Bruce Brown,DEN,"$6,479,000","$6,802,950",,,,,6479000,2,3239500.0
203,Onyeka Okongwu,ATL,"$6,395,160","$8,109,063",,,,,14504223,2,7252111.5
204,Justin Holiday,HOU,"$6,862,261",,,,,,6292440,1,6292440.0
205,Josh Giddey,OKC,"$6,287,400","$6,587,040","$8,352,367",,,,12874440,3,4291480.0
206,Rui Hachimura,LAL,"$6,263,188",,,,,,6263188,1,6263188.0
207,Rudy Gay,UTA,"$6,184,500","$6,479,000",,,,,6184500,2,3092250.0
208,Shaedon Sharpe,POR,"$6,012,960","$6,313,800","$6,614,160","$8,399,983",,,12326760,4,3081690.0
209,Otto Porter Jr.,TOR,"$6,000,000","$6,300,000",,,,,12300000,2,6150000.0
210,Cameron Payne,PHO,"$6,000,000","$6,500,000",,,,,8000000,2,4000000.0
211,Cam Reddish,POR,"$5,954,454",,,,,,5954454,1,5954454.0
212,Cameron Johnson,BRK,"$5,887,899",,,,,,5887899,1,5887899.0
213,Ricky Rubio,CLE,"$5,853,659","$6,146,342","$6,439,025",,,,16250001,3,5416667.0
214,Killian Hayes,DET,"$5,837,760","$7,413,955",,,,,13251715,2,6625857.5
215,P.J. Washington,CHO,"$5,808,435",,,,,,5808435,1,5808435.0
216,Jonathan Kuminga,GSW,"$5,739,840","$6,012,840","$7,636,307",,,,11752680,3,3917560.0
217,Pat Connaughton,MIL,"$5,728,393","$9,423,869","$9,423,869","$9,423,869",,,34000000,4,8500000.0
218,Tyler Herro,MIA,"$5,722,116","$27,000,000","$29,000,000","$31,000,000","$33,000,000",,125722116,5,25144423.2
219,Romeo Langford,SAS,"$5,634,257",,,,,,5634257,1,5634257.0
220,Dyson Daniels,NOP,"$5,508,600","$5,784,120","$6,059,520","$7,707,709",,,11292720,4,2823180.0
221,JaVale McGee,DAL,"$5,461,219","$5,734,280","$6,007,341",,,,17202840,3,5734280.0
222,Obi Toppin,NYK,"$5,348,280","$6,803,012",,,,,12151292,2,6075646.0
223,Franz Wagner,ORL,"$5,258,280","$5,508,720","$7,007,092",,,,10767000,3,3589000.0
224,Kendrick Nunn,WAS,"$5,250,000",,,,,,5250000,1,5250000.0
225,Hamidou Diallo,DET,"$5,200,000",,,,,,5200000,1,5200000.0
226,Garrett Temple,NOP,"$5,155,500","$5,401,000",,,,,5155500,2,2577750.0
227,Cory Joseph,DET,"$5,155,500",,,,,,5155500,1,5155500.0
228,Torrey Craig,PHO,"$5,121,951",,,,,,5121951,1,5121951.0
229,Jeremy Sochan,SAS,"$5,063,520","$5,316,960","$5,570,040","$7,096,231",,,10380480,4,2595120.0
230,David Nwaba,OKC,"$5,022,000",,,,,,5022000,1,5022000.0
231,Nickeil Alexander-Walker,MIN,"$5,009,633",,,,,,5009633,1,5009633.0
232,Furkan Korkmaz,PHI,"$5,000,000","$5,370,370",,,,,10370370,2,5185185.0
233,Deni Avdija,WAS,"$4,916,160","$6,263,188",,,,,11179348,2,5589674.0
234,Davion Mitchell,SAC,"$4,833,600","$5,063,640","$6,451,077",,,,9897240,3,3299080.0
235,Johnny Davis,WAS,"$4,810,320","$5,050,800","$5,291,160","$6,746,229",,,9861120,4,2465280.0
236,Goga Bitadze,IND,"$5,377,520","$2,066,585",,,,,4765339,2,2382669.5
237,Ish Smith,DEN,"$4,725,000",,,,,,4725000,1,4725000.0
238,Dewayne Dedmon,SAS,"$8,147,040","$7,190,667","$2,866,667",,,,4700000,3,1566666.6666666667
239,Jalen Smith,IND,"$4,670,160","$5,043,773","$5,417,386",,,,9713933,3,3237977.6666666665
240,Ziaire Williams,MEM,"$4,591,680","$4,810,200","$6,133,005",,,,9401880,3,3133960.0
241,Ousmane Dieng,OKC,"$4,569,840","$4,798,440","$5,027,040","$6,670,882",,,9368280,4,2342070.0
242,Maurice Harkless,HOU,"$4,564,980",,,,,,4564980,1,4564980.0
243,Donte DiVincenzo,GSW,"$4,500,000","$4,725,000",,,,,4500000,2,2250000.0
244,Jeff Green,DEN,"$4,500,000",,,,,,4500000,1,4500000.0
245,Devin Vassell,SAS,"$4,437,000","$5,887,899",,,,,10324899,2,5162449.5
246,Matisse Thybulle,POR,"$4,379,527",,,,,,4379527,1,4379527.0
247,Jarred Vanderbilt,LAL,"$4,374,000","$4,698,000",,,,,4674000,2,2337000.0
248,James Bouknight,CHO,"$4,362,240","$4,570,080","$6,064,496",,,,8932320,3,2977440.0
249,Brandon Clarke,MEM,"$4,343,920","$12,500,000","$12,500,000","$12,500,000","$12,500,000",,54343920,5,10868784.0
250,Jalen Williams,OKC,"$4,341,480","$4,558,680","$4,775,760","$6,580,997",,,8900160,4,2225040.0
251,Grant Williams,BOS,"$4,306,281",,,,,,4306281,1,4306281.0
252,Darius Bazley,PHO,"$4,264,629",,,,,,4264629,1,4264629.0
253,Ty Jerome,HOU,"$4,220,057",,,,,,4220057,1,4220057.0
254,Tyrese Haliburton,IND,"$4,215,120","$5,808,435",,,,,10023555,2,5011777.5
255,Nassir Little,POR,"$4,171,548","$6,250,000","$6,750,000","$7,250,000","$7,750,000",,32171548,5,6434309.6
256,Joshua Primo,SAS,"$4,144,320","$4,341,600",,,,,8485920,2,4242960.0
257,Jalen Duren,DET,"$4,124,280","$4,330,680","$4,536,840","$6,483,144",,,8454960,4,2113740.0
258,Danuel House Jr.,PHI,"$4,105,000","$4,310,250",,,,,4105000,2,2052500.0
259,Justise Winslow,POR,"$4,097,561",,,,,,4097561,1,4097561.0
260,Dylan Windler,CLE,"$4,037,278",,,,,,4037278,1,4037278.0
261,Kira Lewis Jr.,NOP,"$4,004,280","$5,722,116",,,,,9726396,2,4863198.0
262,Terence Davis,SAC,"$4,000,000",,,,,,4000000,1,4000000.0
263,George Hill,IND,"$4,000,000",,,,,,4000000,1,4000000.0
264,Chris Duarte,IND,"$3,936,960","$4,124,400","$5,893,768",,,,8061360,3,2687120.0
265,Jevon Carter,BRK,"$6,025,000","$2,239,943",,,,,3925000,2,1962500.0
266,Alex Len,SAC,"$3,918,600",,,,,,3918600,1,3918600.0
267,Ochai Agbaji,UTA,"$3,918,360","$4,114,200","$4,310,280","$6,383,525",,,8032560,4,2008140.0
268,Jordan Poole,GSW,"$3,901,399","$28,705,357","$30,901,786","$33,098,215","$35,294,642",,131901399,5,26380279.8
269,Keldon Johnson,SAS,"$3,873,025","$20,000,000","$19,000,000","$17,500,000","$17,500,000",,77873025,5,15574605.0
270,Aaron Nesmith,IND,"$3,804,360","$5,634,257",,,,,9438617,2,4719308.5
271,Moses Moody,GSW,"$3,740,160","$3,918,480","$5,803,269",,,,7658640,3,2552880.0
272,Mark Williams,CHO,"$3,722,040","$3,908,160","$4,094,280","$6,276,531",,,7630200,4,1907550.0
273,Cole Anthony,ORL,"$3,613,680","$5,539,771",,,,,9153451,2,4576725.5
274,Corey Kispert,WAS,"$3,552,840","$3,722,040","$5,705,887",,,,7274880,3,2424960.0
275,AJ Griffin,ATL,"$3,536,160","$3,712,920","$3,889,920","$5,967,137",,,7249080,4,1812270.0
276,Boban Marjanović,HOU,"$4,101,478",,,,,,4101478,1,4101478.0
277,Mike Muscala,BOS,"$3,500,000","$3,500,000",,,,,3500000,2,1750000.0
278,Georges Niang,PHI,"$3,465,000",,,,,,3465000,1,3465000.0
279,Chuma Okeke,ORL,"$3,433,320","$5,266,713",,,,,8700033,2,4350016.5
280,Isaiah Stewart,DET,"$3,433,320","$5,266,713",,,,,8700033,2,4350016.5
