Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Salary Count,Average Salary
162,Scottie Barnes,TOR,"$10,130,980","$38,661,750","$41,754,690","$44,847,630","$47,940,570","$51,033,510",234369130,6,39061521.666666664
163,Reed Sheppard,HOU,"$10,098,960","$10,603,560","$11,108,880","$14,041,625",,,20702520,4,5175630.0
164,Mike Conley,MIN,"$9,975,962","$10,774,038",,,,,20750000,2,10375000.0
165,Jonas Valančiūnas,SAC,"$9,900,000","$10,395,000","$10,000,000",,,,20295000,3,6765000.0
166,Alex Caruso,OKC,"$9,890,000","$18,102,000","$19,550,160","$20,998,320","$22,446,480",,90986960,5,18197392.0
167,Jabari Smith Jr.,HOU,"$9,770,880","$12,350,392",,,,,22121272,2,11060636.0
168,Derrick Jones Jr.,LAC,"$9,523,810","$10,000,000","$10,476,190",,,,30000000,3,10000000.0
169,Al Horford,BOS,"$9,500,000",,,,,,9500000,1,9500000.0
170,Pat Connaughton,MIL,"$9,423,869","$9,423,869",,,,,9423869,2,4711934.5
171,Royce O'Neale,PHO,"$9,375,000","$10,125,000","$10,875,000","$11,625,000",,,42000000,4,10500000.0
172,T.J. McConnell,IND,"$9,300,000","$10,200,000","$11,000,000","$11,800,000","$11,800,000",,42300000,5,8460000.0
173,Luke Kennard,MEM,"$9,250,000",,,,,,9250000,1,9250000.0
174,Amen Thompson,HOU,"$9,249,960","$9,690,600","$12,258,609",,,,18940560,3,6313520.0
175,Jalen Suggs,ORL,"$9,188,385","$35,000,000","$32,400,000","$29,600,000","$26,800,000","$26,700,000",132988385,6,22164730.833333332
176,Caleb Martin,DAL,"$9,186,594","$9,594,044","$10,001,493","$9,371,351",,,28782131,4,7195532.75
177,Gary Payton II,GSW,"$9,130,000",,,,,,9130000,1,9130000.0
178,Stephon Castle,SAS,"$9,105,120","$9,560,520","$10,015,920","$12,670,139",,,18665640,4,4666410.0
179,Tre Jones,CHI,"$9,104,167",,,,,,9104167,1,9104167.0
180,Goga Bitadze,ORL,"$9,057,971","$8,333,333","$7,608,696",,,,25000000,3,8333333.333333333
181,Zeke Nnaji,DEN,"$8,888,889","$8,177,778","$7,466,667","$7,466,667",,,24533334,4,6133333.5
182,Keegan Murray,SAC,"$8,809,560","$11,144,093",,,,,19953653,2,9976826.5
183,Buddy Hield,GSW,"$8,780,488","$9,219,512","$9,658,536","$10,097,560",,,27658536,4,6914634.0
184,Kyle Anderson,MIA,"$8,780,488","$9,219,512","$9,658,536",,,,18000000,3,6000000.0
185,Naji Marshall,DAL,"$8,571,429","$9,000,000","$9,428,571",,,,27000000,3,9000000.0
186,Jalen Smith,CHI,"$8,571,429","$9,000,000","$9,428,571",,,,27000000,3,9000000.0
187,Georges Niang,ATL,"$8,500,000","$8,200,000",,,,,16700000,2,8350000.0
188,Ausar Thompson,DET,"$8,376,000","$8,775,000","$11,117,925",,,,17151000,3,5717000.0
189,Josh Giddey,CHI,"$8,352,367",,,,,,8352367,1,8352367.0
190,Josh Okogie,CHO,"$8,250,000","$7,750,000",,,,,8250000,2,4125000.0
191,Ron Holland,DET,"$8,245,320","$8,657,280","$9,069,600","$11,491,183",,,16902600,4,4225650.0
192,Cody Martin,PHO,"$8,120,000","$8,680,000",,,,,8120000,2,4060000.0
193,Jock Landale,HOU,"$8,000,000","$8,000,000","$8,000,000",,,,16000000,3,5333333.333333333
194,Trey Lyles,SAC,"$8,000,000",,,,,,8000000,1,8000000.0
195,Jeff Green,HOU,"$8,000,000",,,,,,8000000,1,8000000.0
196,Kevon Looney,GSW,"$8,000,000",,,,,,8000000,1,8000000.0
